aid,anno,posizione,corrispondente,n_autori,wid
5100348067,2021,first,False,3,W3203174623
5100348101,2022,middle,False,9,W4385324086
5100348142,2022,middle,False,6,W4310572902
5100348166,2022,middle,False,12,W4296068592
5100348399,2019,middle,False,17,W2970731908
5100348522,2021,last,False,10,W3173316665
5100348588,2022,last,False,6,W4313176116
5100348617,2022,first,False,5,W4224979365
5100348619,2020,middle,False,4,W3105083537
5100348795,2022,middle,False,8,W4289533863
5100348836,2020,first,False,4,W3035552787
5100348874,2021,last,False,3,W3199951264
5100348946,2021,first,False,6,W4214663214
5100349006,2020,middle,False,6,W3114584238
5100349055,2020,middle,False,5,W3043684480
5100349058,2021,first,False,6,W3126192873
5100349461,2021,first,False,5,W4214526701
5100349553,2021,first,False,3,W3201025125
5100349854,2022,first,False,4,W4295919046
5100349956,2021,middle,False,7,W3160848464
5100350053,2022,middle,False,4,W4288801866
5100350070,2020,first,False,4,W3092094101
5100350157,2019,middle,False,4,W2989365868
5100350165,2022,last,False,7,W4281560964
5100350192,2022,last,True,6,W4286751463
5100350205,2020,middle,False,4,W2937815589
5100350358,2022,middle,False,8,W4285123920
5100350377,2022,middle,False,5,W4299886057
5100350503,2019,middle,False,5,W2970069267
5100350708,2022,middle,False,7,W4221156340
5100350738,2021,middle,False,13,W3188270315
5100350793,2021,last,False,6,W3199178087
5100350814,2022,middle,False,7,W4283800873
5100350815,2019,first,False,7,W2994833988
5100350831,2022,middle,False,4,W4281554789
5100350965,2022,first,False,6,W4366308287
5100350999,2021,middle,False,8,W3129895333
5100351135,2022,first,False,3,W4224286930
5100351304,2020,last,False,5,W3132423895
5100351349,2021,last,False,8,W3185244911
5100351382,2021,first,False,4,W3199142809
5100351387,2022,middle,False,10,W4285141508
5100351398,2020,middle,False,8,W3012639927
5100351449,2021,middle,False,4,W3214038065
5100351559,2022,last,False,7,W4293517975
5100351795,2022,first,False,5,W4313306150
5100351814,2022,middle,False,9,W4385573342
5100352014,2022,first,False,4,W4285131076
5100352133,2022,middle,True,5,W4281670935
5100352139,2020,first,False,7,W3034257506
5100352321,2019,last,False,4,W2979144850
5100352418,2020,middle,False,3,W3114316604
5100352467,2021,middle,False,6,W3119627319
5100352614,2022,middle,False,6,W3211339043
5100352621,2020,middle,False,5,W3095776571
5100352646,2022,middle,False,6,W4385573122
5100352703,2021,middle,False,4,W4226478928
5100352782,2021,first,False,7,W3177049011
5100352786,2022,first,False,6,W4385573951
5100352800,2021,last,False,6,W4206826669
5100352922,2022,last,False,4,W4223651314
5100353028,2020,middle,False,3,W3129096424
5100353132,2020,middle,False,11,W3035718760
5100353181,2021,last,True,2,W3131800253
5100353280,2022,first,False,7,W4285112296
5100353315,2022,middle,False,8,W4282049100
5100353377,2020,middle,False,8,W2997774782
5100353447,2018,middle,False,5,W4289753644
5100353471,2021,first,False,5,W4226096048
5100353516,2022,middle,False,6,W4309096928
5100353576,2021,first,False,3,W3186032668
5100353589,2020,middle,False,6,W3176438635
5100353701,2022,middle,False,5,W4385574304
5100353748,2022,first,False,17,W4281696767
5100353758,2022,middle,False,6,W4313525558
5100353780,2019,first,False,4,W2985056549
5100353783,2023,middle,False,7,W4382203033
5100353872,2020,first,False,7,W3089948417
5100354039,2022,last,False,4,W4309574100
5100354072,2021,first,True,7,W3135847816
5100354105,2022,first,True,3,W4298156464
5100354220,2021,middle,False,9,W3176683285
5100354226,2021,middle,False,13,W3188270315
5100354322,2021,middle,False,3,W4210615591
5100354377,2021,middle,False,8,W3176421937
5100354434,2022,last,False,4,W4296794745
5100354505,2022,middle,False,6,W4312709938
5100354569,2022,middle,False,3,W4296070391
5100354571,2020,middle,False,7,W3104578551
5100354592,2021,middle,False,6,W3176937211
5100354667,2022,middle,False,6,W4286331454
5100354947,2021,last,False,6,W3190806564
5100355010,2019,middle,False,4,W2983408952
5100355025,2019,middle,False,5,W2985619053
5100355078,2020,middle,False,3,W2998562534
5100355083,2022,first,False,4,W4289778513
5100355268,2019,last,False,2,W2997394673
5100355406,2022,middle,True,6,W4307955350
5100355602,2021,first,False,3,W3200368352
5100355768,2021,first,False,6,W3217805968
5100355797,2022,middle,False,8,W4285292386
5100355854,2020,middle,False,4,W3038540520
5100355884,2021,last,False,7,W3153005511
5100356345,2020,first,False,7,W3122762307
5100356421,2022,middle,True,3,W3182672186
5100356430,2021,middle,False,6,W3158733382
5100356505,2021,middle,False,7,W3167441071
5100356576,2021,first,True,1,W3184845153
5100356635,2020,first,False,4,W3048717973
5100356742,2021,middle,False,6,W3167028092
5100356958,2021,middle,False,5,W3169618399
5100357128,2021,last,False,3,W3172691639
5100357357,2022,middle,False,4,W4309640070
5100357384,2022,first,False,6,W4312824590
5100357421,2021,first,False,5,W4200548756
5100357477,2022,middle,False,5,W4281398567
5100357478,2020,first,False,3,W3135906347
5100357746,2021,first,False,4,W3153942638
5100357767,2021,middle,False,4,W3025790378
5100357784,2019,first,False,3,W2997204042
5100357848,2022,middle,False,6,W4292973033
5100358009,2020,last,False,7,W2997354568
5100358064,2022,middle,False,8,W4294975313
5100358079,2021,first,False,7,W3163343414
5100358151,2020,first,False,3,W3018391788
5100358523,2020,middle,False,9,W3112315235
5100358611,2019,first,False,2,W3014025313
5100358735,2021,middle,False,13,W3152507829
5100358771,2022,middle,False,4,W4290715209
5100358968,2022,middle,False,7,W4287887180
5100359490,2022,middle,False,8,W4385573469
5100359534,2022,middle,False,5,W4295934596
5100359773,2022,middle,False,5,W4285207474
5100359784,2022,middle,False,5,W4313038764
5100359820,2022,middle,False,6,W4225293051
5100359891,2021,middle,False,5,W3174735465
5100359926,2022,middle,False,10,W4225835448
5100360034,2021,middle,False,4,W3172181889
5100360190,2021,middle,False,7,W3112336664
5100360194,2020,middle,False,5,W2998451506
5100360362,2022,middle,False,9,W4285164445
5100360395,2022,first,False,5,W4385573452
5100360407,2019,first,False,5,W2988294541
5100360466,2022,last,False,8,W4385573469
5100360524,2021,first,False,2,W3164103590
5100360704,2022,first,False,8,W4293417802
5100360935,2021,middle,False,7,W3128910262
5100360960,2021,middle,False,5,W3119414542
5100361415,2020,middle,False,9,W3044249632
5100361458,2021,middle,False,5,W3211771663
5100361483,2021,first,False,5,W3199294715
5100361611,2022,middle,False,8,W4312186830
5100361668,2021,last,False,3,W3154927178
5100361751,2022,middle,False,8,W4308148751
5100361857,2021,middle,False,7,W3156476125
5100361891,2021,middle,False,5,W3175787213
5100362398,2020,middle,False,6,W3176438635
5100362419,2022,middle,False,11,W4281779085
5100362457,2022,middle,False,6,W4311423650
5100362543,2022,last,False,4,W4298836308
5100362573,2021,middle,False,6,W3214350763
5100362650,2022,middle,False,5,W4287854684
5100362745,2021,middle,True,6,W3196696529
5100362838,2021,middle,False,3,W4256190464
5100362863,2019,middle,False,5,W2991433488
5100362874,2022,middle,False,5,W4224945259
5100362891,2022,middle,False,4,W4283803866
5100363060,2022,last,False,6,W4385574320
5100363116,2022,middle,False,5,W4225647599
5100363203,2020,first,False,3,W3115275800
5100363606,2022,middle,False,14,W4308025419
5100363698,2021,first,False,4,W4200325139
5100363712,2022,first,False,5,W4207049479
5100363719,2022,first,False,6,W3201191103
5100363740,2020,first,False,6,W3089559086
5100364041,2021,middle,False,6,W3208132107
5100364068,2022,middle,False,7,W4313050727
5100364094,2022,last,False,3,W4385573630
5100364127,2022,middle,False,9,W4283791710
5100364201,2020,middle,False,6,W3171459814
5100364209,2021,middle,False,6,W3202655240
5100364263,2022,first,False,3,W4312894376
5100364381,2021,last,True,2,W3177334331
5100364503,2020,middle,False,7,W3115990655
5100364587,2020,middle,False,7,W3088684535
5100364724,2022,middle,False,8,W4285208881
5100364873,2021,middle,False,7,W3198331626
5100365053,2020,middle,False,10,W3095189764
5100365142,2022,middle,False,4,W4285120780
5100365151,2021,first,False,2,W4200239969
5100365157,2022,last,False,4,W4226313456
5100365163,2022,first,False,5,W4285131379
5100365217,2022,first,False,5,W4285113287
5100365435,2022,middle,False,8,W4225136964
5100365484,2021,middle,False,6,W3174481817
5100365536,2020,last,False,3,W3111934536
5100365555,2021,middle,False,5,W3213564796
5100365743,2022,middle,False,7,W4282959781
5100365752,2020,middle,False,4,W3093043896
5100365766,2022,middle,False,8,W4283316516
5100366001,2020,last,False,2,W2999076907
5100366166,2020,middle,False,5,W3106306852
5100366283,2020,last,False,3,W3115608845
5100366368,2022,middle,False,3,W4320060562
5100366435,2020,last,False,2,W3163090022
5100366539,2022,first,False,4,W4296068433
5100366662,2022,middle,False,11,W4285168370
5100366890,2021,middle,False,4,W4285338096
5100367009,2022,middle,False,5,W4283770444
5100367141,2022,middle,False,8,W4287890989
5100367209,2022,middle,False,5,W4366959014
5100367403,2022,middle,False,7,W4361733032
5100367540,2019,middle,False,5,W2983735660
5100367735,2022,first,False,4,W4283324387
5100367924,2020,middle,False,7,W3108592865
5100367955,2021,last,False,4,W3163761993
5100368048,2019,first,False,6,W3016781606
5100368070,2021,middle,False,5,W3190697745
5100368203,2021,first,False,6,W3191562205
5100368312,2021,middle,False,13,W3188270315
5100368524,2020,first,False,6,W3098724294
5100368682,2021,middle,False,6,W3167277949
5100368686,2021,middle,False,8,W3206651063
5100368759,2022,middle,False,12,W4291127651
5100368865,2022,middle,False,8,W4289533863
5100368943,2022,last,False,5,W4287855076
5100369025,2021,middle,False,6,W4200469005
5100369148,2021,middle,False,4,W3211152275
5100369181,2022,last,False,2,W4306950516
5100369184,2021,middle,False,6,W3173789715
5100369260,2020,middle,False,5,W3104890489
5100369263,2022,middle,False,15,W4214672816
5100369354,2022,middle,False,7,W4293517975
5100369438,2022,middle,False,6,W4312620285
5100369545,2021,first,False,4,W4248240295
5100369670,2020,middle,False,6,W3114331024
5100369719,2021,middle,False,6,W4205934771
5100369763,2022,middle,False,8,W4224921333
5100369793,2020,middle,False,6,W3100852180
5100369797,2021,last,False,4,W4214597502
5100369870,2019,middle,False,5,W2984698993
5100369885,2022,middle,False,6,W4385567238
5100369916,2021,middle,False,11,W4200627592
5100370065,2021,middle,False,5,W3173870405
5100370079,2020,middle,False,5,W3034876042
5100370103,2020,middle,False,8,W2996806984
5100370155,2020,last,False,9,W3115362515
5100370341,2022,middle,False,10,W4285287081
5100370452,2019,middle,False,5,W3063384677
5100370492,2020,middle,False,8,W2997774782
5100370514,2021,middle,False,6,W3182937942
5100370523,2022,middle,True,4,W4312221409
5100370632,2022,middle,False,4,W4284708021
5100370636,2021,first,False,7,W4205350698
5100370668,2022,first,False,4,W4225163014
5100370898,2021,first,False,10,W3202078810
5100371161,2022,middle,True,4,W4309827933
5100371177,2019,first,False,4,W2971051558
5100371313,2022,last,False,3,W4385573468
5100371413,2022,first,False,4,W4328027195
5100371517,2022,middle,False,4,W4312341581
5100371535,2020,last,False,4,W3034745874
5100371550,2021,last,False,8,W3176641036
5100371596,2021,first,False,6,W4213229048
5100371604,2022,first,False,6,W4312725378
5100371711,2019,middle,False,5,W2970023150
5100371757,2021,middle,False,6,W3123799706
5100371984,2020,middle,False,5,W3034617555
5100371992,2019,first,False,2,W2986382673
5100372172,2022,first,False,3,W4385325124
5100372304,2022,first,False,3,W4323521306
5100372357,2022,middle,False,8,W4283805255
5100372518,2021,middle,False,3,W3120992250
5100372676,2020,last,False,7,W3000546628
5100372803,2022,middle,False,9,W3138081324
5100373159,2022,middle,False,7,W4313042449
5100373297,2022,middle,False,3,W4312565955
5100373327,2022,last,False,5,W4291653312
5100373451,2020,first,False,4,W3104763958
5100373492,2022,middle,False,7,W4312981036
5100373517,2020,last,False,4,W3104410689
5100373560,2021,last,False,2,W3194373887
5100373580,2021,middle,False,7,W3207345702
5100373723,2021,middle,False,8,W3201342367
5100374033,2022,middle,False,8,W4385572851
5100374064,2020,middle,False,7,W3022278830
5100374091,2022,middle,False,3,W4385572973
5100374175,2021,middle,False,6,W3187908937
5100374346,2022,first,False,2,W4294069431
5100374360,2020,middle,False,7,W3095373628
5100374506,2021,last,False,3,W3193250980
5100374757,2021,last,True,6,W3217728966
5100374771,2019,middle,False,4,W2989033444
5100374810,2019,middle,False,6,W2970928735
5100374831,2022,first,False,7,W4221159394
5100374850,2021,middle,False,6,W3176892444
5100374904,2022,middle,False,8,W4223479130
5100375342,2019,middle,False,8,W2970092972
5100375568,2022,middle,False,6,W4313210659
5100375653,2021,middle,False,23,W3190761184
5100375722,2022,middle,False,8,W4313413439
5100375732,2022,middle,False,5,W4303980607
5100375823,2020,last,False,4,W3026111682
5100375832,2022,first,False,3,W4312331157
5100375952,2022,middle,False,11,W3205816523
5100375986,2022,middle,False,7,W4385573410
5100376019,2021,middle,False,7,W3203961508
5100376186,2022,last,False,3,W4293196468
5100376219,2021,last,False,2,W3169315457
5100376310,2021,middle,False,4,W3132623428
5100376399,2022,middle,False,10,W3205544360
5100376761,2022,middle,False,7,W4223906719
5100376928,2022,first,False,3,W4312781440
5100376935,2020,middle,False,6,W3037000009
5100377070,2022,middle,False,11,W4287855194
5100377555,2022,first,False,7,W4285148830
5100377578,2022,last,False,9,W4293732080
5100377614,2022,last,False,5,W4285269190
5100377652,2022,first,False,8,W4302275696
5100377658,2020,middle,False,3,W3114059539
5100377801,2022,middle,False,4,W4282046439
5100377802,2019,middle,False,4,W2987751813
5100377931,2022,middle,False,9,W3209376089
5100377935,2022,first,False,6,W3205533980
5100377984,2021,middle,False,5,W4200548756
5100378046,2022,middle,False,8,W4385574176
5100378166,2022,middle,False,7,W4293246009
5100378207,2021,first,False,3,W4226191189
5100378208,2019,middle,False,7,W2986836624
5100378273,2022,middle,False,11,W4296832031
5100378418,2021,last,False,6,W3209174365
5100378754,2022,middle,False,6,W4307955350
5100378776,2020,first,False,7,W3089691460
5100378792,2019,middle,False,6,W2978808818
5100378800,2019,last,False,3,W3005249048
5100378893,2021,first,False,3,W3214464111
5100378956,2022,middle,False,5,W4293468105
5100379009,2022,first,False,9,W4313036289
5100379203,2021,last,False,7,W3185808850
5100379221,2021,middle,False,3,W3177451412
5100379262,2021,last,False,3,W4210453527
5100379486,2022,middle,False,6,W4313176116
5100379513,2022,middle,False,3,W4292794833
5100379983,2022,middle,False,3,W4312429630
5100380107,2020,first,False,2,W3098480005
5100380138,2020,middle,False,4,W3090380202
5100380233,2022,last,True,3,W4385566947
5100380463,2019,middle,False,5,W2977542973
5100380469,2022,first,False,7,W4283837702
5100380499,2021,middle,False,5,W3181252431
5100380570,2021,middle,False,10,W3173316665
5100380588,2020,last,False,3,W3114316604
5100380815,2022,first,False,4,W4385572934
5100380894,2022,middle,False,6,W4224030510
5100380896,2020,middle,False,3,W3103068588
5100380910,2022,middle,False,4,W4385573321
5100381333,2021,last,False,6,W4210604938
5100381393,2021,last,False,3,W3191663075
5100381694,2021,middle,False,4,W4226333920
5100381990,2021,middle,True,6,W3203177300
5100382017,2022,first,False,3,W4224510333
5100382033,2022,middle,False,17,W4281696767
5100382077,2019,last,False,2,W2955807891
5100382102,2020,first,False,4,W3032007299
5100382206,2022,middle,False,5,W4210820433
5100382220,2022,middle,False,5,W4295308551
5100382467,2022,last,False,6,W4294771193
5100382568,2022,middle,False,6,W4288064589
5100382806,2019,last,False,2,W2989352963
5100382943,2021,middle,False,4,W3127705355
5100382950,2019,middle,False,4,W2988849053
5100383004,2019,last,False,2,W2983379979
5100383032,2022,middle,True,5,W4290086640
5100383084,2021,middle,False,6,W3189953745
5100383106,2022,last,False,3,W4312580481
5100383114,2022,last,False,7,W4224253852
5100383203,2020,first,False,4,W3098266722
5100383241,2022,middle,False,5,W4294184025
5100383262,2022,middle,False,14,W4282587058
5100383332,2021,middle,False,9,W3209034179
5100383455,2022,first,False,3,W4292583675
5100383518,2022,middle,False,5,W4286569754
5100383567,2022,first,False,2,W4226247656
5100383569,2021,middle,False,7,W3212873837
5100383617,2022,middle,False,7,W4385573954
5100383721,2020,middle,False,10,W2998036008
5100383731,2021,last,False,7,W3132730420
5100383751,2022,middle,False,5,W4229453513
5100383897,2022,middle,False,8,W4285309765
5100383939,2020,middle,False,3,W3118129430
5100383985,2021,first,False,2,W4205899033
5100384035,2022,last,False,4,W4280510965
5100384130,2021,middle,False,7,W3163474636
5100384144,2021,middle,False,5,W3156586578
5100384309,2021,middle,False,4,W3213250563
5100384727,2019,middle,False,7,W3000100294
5100384838,2022,last,False,9,W4280604450
5100384877,2021,last,False,4,W3188865574
5100385138,2020,first,False,6,W3068336208
5100385194,2022,middle,False,5,W4328028514
5100385245,2022,middle,False,12,W4290802352
5100385274,2022,last,False,7,W4285184673
5100385323,2021,last,False,2,W3163218255
5100385338,2022,first,False,3,W4308883846
5100385622,2022,middle,False,12,W4311426701
5100385692,2021,first,False,4,W3211326643
5100385729,2022,middle,False,8,W4285158790
5100386183,2022,middle,False,7,W4292793949
5100386325,2022,middle,False,4,W4293518848
5100386394,2019,last,False,9,W2987241137
5100386405,2022,middle,False,9,W4285308960
5100386895,2020,middle,False,6,W3100053428
5100386903,2022,middle,False,7,W4285176401
5100386915,2022,first,False,5,W4285207474
5100386920,2021,last,False,6,W3113677131
5100386934,2021,last,False,5,W3177363015
5100386940,2020,middle,False,6,W3034795928
5100386964,2020,middle,False,3,W3048123096
5100387223,2022,first,True,3,W4281756024
5100387244,2022,middle,False,3,W4312437946
5100387346,2021,first,False,8,W3121976951
5100387509,2021,first,False,2,W3173891689
5100387512,2021,middle,False,5,W3195374612
5100387644,2021,last,False,4,W3212619554
5100387905,2021,first,True,2,W3126549860
5100388178,2022,middle,False,7,W4223956331
5100388186,2021,middle,False,6,W3172028705
5100388188,2020,middle,False,3,W3045834900
5100388333,2019,middle,False,7,W2985891764
5100388504,2021,middle,False,4,W3204737103
5100388567,2022,middle,False,6,W4224921414
5100388589,2021,middle,False,11,W3189279073
5100388682,2021,last,False,3,W3200079339
5100388745,2021,first,False,4,W3212498084
5100389286,2021,last,False,8,W3206867815
5100389298,2022,last,False,6,W4289866515
5100389329,2022,first,False,7,W4312612915
5100389337,2022,last,False,3,W4214854098
5100389350,2021,middle,False,4,W4206060246
5100389365,2021,middle,False,5,W3210003094
5100389396,2021,middle,False,7,W3215381707
5100389530,2022,middle,False,15,W4385574075
5100389641,2022,middle,False,5,W4385572739
5100389843,2022,middle,False,9,W4380605326
5100389881,2021,middle,False,8,W3212944133
5100389900,2019,middle,False,8,W2970501962
5100390112,2020,middle,False,4,W3030056709
5100390297,2022,first,False,11,W4308643152
5100390580,2021,middle,False,7,W3119760464
5100390697,2020,last,False,4,W3129290453
5100390719,2022,middle,True,8,W4308148751
5100390839,2021,first,True,5,W3213307153
5100391224,2022,last,False,3,W4205891067
5100391277,2022,middle,False,5,W4385573761
5100391315,2021,last,False,2,W4206463706
5100391361,2022,middle,False,8,W4307651724
5100391371,2021,middle,False,4,W4205409518
5100391442,2019,last,False,2,W3011866533
5100391494,2021,middle,False,6,W4200359811
5100391517,2020,last,False,4,W2998079989
5100391562,2023,first,False,12,W4385804927
5100391855,2020,middle,False,4,W3037503597
5100391888,2021,middle,False,8,W3176209443
5100391896,2019,middle,False,7,W3013936901
5100391934,2021,middle,False,4,W4226210750
5100392089,2021,last,True,9,W3215776227
5100392222,2020,middle,False,3,W3043303806
5100392353,2021,middle,False,5,W4214755140
5100392380,2021,middle,False,4,W4206478394
5100392510,2020,last,False,5,W3118205297
5100392547,2022,first,True,3,W4309701552
5100392796,2022,middle,False,4,W4312989971
5100392954,2019,middle,False,4,W2971209824
5100393017,2020,middle,False,5,W3090306696
5100393041,2020,middle,False,5,W3090831139
5100393228,2022,last,False,6,W4226280642
5100393241,2019,middle,False,3,W3011315863
5100393399,2022,middle,False,3,W4224997359
5100393429,2022,first,False,6,W4310614814
5100393445,2022,last,False,6,W4213063565
5100393463,2021,first,False,5,W3127668261
5100393484,2022,middle,False,9,W4385572809
5100393506,2020,last,False,4,W3034777757
5100393561,2021,first,False,7,W4206318191
5100393609,2022,middle,False,3,W4286377389
5100393616,2020,last,False,5,W3114773499
